                   x               P1(x)               P3(x)               P5(x)               P7(x)
           -0.968597              -0.969              -0.819              -0.579              -0.292
           -0.968397              -0.968              -0.818              -0.576              -0.288
           -0.968197              -0.968              -0.817              -0.574              -0.285
           -0.967997              -0.968              -0.816              -0.571              -0.281
           -0.967797              -0.968              -0.814              -0.569              -0.278
           -0.967597              -0.968              -0.813              -0.567              -0.274
           -0.967397              -0.967              -0.812              -0.564              -0.271
           -0.967197              -0.967              -0.811              -0.562              -0.267
           -0.966997              -0.967               -0.81               -0.56              -0.264
           -0.966797              -0.967              -0.809              -0.557               -0.26
           -0.966597              -0.967              -0.808              -0.555              -0.257
           -0.966397              -0.966              -0.807              -0.553              -0.253
           -0.966197              -0.966              -0.806               -0.55               -0.25
           -0.965997              -0.966              -0.805              -0.548              -0.247
           -0.965797              -0.966              -0.803              -0.546              -0.243
           -0.965597              -0.966              -0.802              -0.543               -0.24
           -0.965397              -0.965              -0.801              -0.541              -0.237
           -0.965197              -0.965                -0.8              -0.539              -0.233
           -0.964996              -0.965              -0.799              -0.536               -0.23
           -0.964796              -0.965              -0.798              -0.534              -0.227
           -0.964596              -0.965              -0.797              -0.532              -0.223
           -0.964396              -0.964              -0.796              -0.529               -0.22
           -0.964196              -0.964              -0.795              -0.527              -0.217
           -0.963996              -0.964              -0.794              -0.525              -0.214
           -0.963796              -0.964              -0.792              -0.523               -0.21
           -0.963596              -0.964              -0.791               -0.52              -0.207
           -0.963396              -0.963               -0.79              -0.518              -0.204
           -0.963196              -0.963              -0.789              -0.516              -0.201
           -0.962996              -0.963              -0.788              -0.513              -0.197
           -0.962796              -0.963              -0.787              -0.511              -0.194
           -0.962596              -0.963              -0.786              -0.509              -0.191
           -0.962396              -0.962              -0.785              -0.507              -0.188
           -0.962196              -0.962              -0.784              -0.504              -0.185
           -0.961996              -0.962              -0.783              -0.502              -0.182
           -0.961796              -0.962              -0.782                -0.5              -0.178
           -0.961596              -0.962               -0.78              -0.497              -0.175
           -0.961396              -0.961              -0.779              -0.495              -0.172
           -0.961196              -0.961              -0.778              -0.493              -0.169
           -0.960996              -0.961              -0.777              -0.491              -0.166
           -0.960796              -0.961              -0.776              -0.489              -0.163
           -0.960596              -0.961              -0.775              -0.486               -0.16
           -0.960396               -0.96              -0.774              -0.484              -0.157
           -0.960196               -0.96              -0.773              -0.482              -0.154
           -0.959996               -0.96              -0.772               -0.48              -0.151
           -0.959796               -0.96              -0.771              -0.477              -0.147
           -0.959596               -0.96               -0.77              -0.475              -0.144
           -0.959396              -0.959              -0.769              -0.473              -0.141
           -0.959196              -0.959              -0.767              -0.471              -0.138
           -0.958996              -0.959              -0.766              -0.468              -0.135
           -0.958796              -0.959              -0.765              -0.466              -0.132
           -0.958596              -0.959              -0.764              -0.464              -0.129
           -0.958396              -0.958              -0.763              -0.462              -0.127
           -0.958196              -0.958              -0.762               -0.46              -0.124
           -0.957996              -0.958              -0.761              -0.457              -0.121
           -0.957796              -0.958               -0.76              -0.455              -0.118
           -0.957596              -0.958              -0.759              -0.453              -0.115
           -0.957396              -0.957              -0.758              -0.451              -0.112
           -0.957196              -0.957              -0.757              -0.449              -0.109
           -0.956996              -0.957              -0.756              -0.447              -0.106
           -0.956796              -0.957              -0.755              -0.444              -0.103
           -0.956596              -0.957              -0.753              -0.442                -0.1
           -0.956396              -0.956              -0.752               -0.44              -0.097
           -0.956196              -0.956              -0.751              -0.438              -0.095
           -0.955996              -0.956               -0.75              -0.436              -0.092
           -0.955796              -0.956              -0.749              -0.434              -0.089
           -0.955596              -0.956              -0.748              -0.431              -0.086
           -0.955396              -0.955              -0.747              -0.429              -0.083
           -0.955196              -0.955              -0.746              -0.427               -0.08
           -0.954995              -0.955              -0.745              -0.425              -0.078
           -0.954795              -0.955              -0.744              -0.423              -0.075
           -0.954595              -0.955              -0.743              -0.421              -0.072
           -0.954395              -0.954              -0.742              -0.419              -0.069
           -0.954195              -0.954              -0.741              -0.417              -0.067
           -0.953995              -0.954               -0.74              -0.414              -0.064
           -0.953795              -0.954              -0.739              -0.412              -0.061
           -0.953595              -0.954              -0.737               -0.41              -0.058
           -0.953395              -0.953              -0.736              -0.408              -0.056
           -0.953195              -0.953              -0.735              -0.406              -0.053
           -0.952995              -0.953              -0.734              -0.404               -0.05
           -0.952795              -0.953              -0.733              -0.402              -0.048
           -0.952595              -0.953              -0.732                -0.4              -0.045
           -0.952395              -0.952              -0.731              -0.398              -0.042
           -0.952195              -0.952               -0.73              -0.395               -0.04
           -0.951995              -0.952              -0.729              -0.393              -0.037
           -0.951795              -0.952              -0.728              -0.391              -0.034
           -0.951595              -0.952              -0.727              -0.389              -0.032
           -0.951395              -0.951              -0.726              -0.387              -0.029
           -0.951195              -0.951              -0.725              -0.385              -0.027
           -0.950995              -0.951              -0.724              -0.383              -0.024
           -0.950795              -0.951              -0.723              -0.381              -0.021
           -0.950595              -0.951              -0.722              -0.379              -0.019
           -0.950395               -0.95              -0.721              -0.377              -0.016
           -0.950195               -0.95              -0.719              -0.375              -0.014
           -0.949995               -0.95              -0.718              -0.373              -0.011
           -0.949795               -0.95              -0.717              -0.371              -0.009
           -0.949595               -0.95              -0.716              -0.369              -0.006
           -0.949395              -0.949              -0.715              -0.367              -0.004
           -0.949195              -0.949              -0.714              -0.365              -0.001
           -0.948995              -0.949              -0.713              -0.362               0.001
           -0.948795              -0.949              -0.712               -0.36               0.004
           -0.948595              -0.949              -0.711              -0.358               0.006
           -0.948395              -0.948               -0.71              -0.356               0.009
           -0.948195              -0.948              -0.709              -0.354               0.011
           -0.947995              -0.948              -0.708              -0.352               0.014
           -0.947795              -0.948              -0.707               -0.35               0.016
           -0.947595              -0.948              -0.706              -0.348               0.019
           -0.947395              -0.947              -0.705              -0.346               0.021
           -0.947195              -0.947              -0.704              -0.344               0.023
           -0.946995              -0.947              -0.703              -0.342               0.026
           -0.946795              -0.947              -0.702               -0.34               0.028
           -0.946595              -0.947              -0.701              -0.338               0.031
           -0.946395              -0.946                -0.7              -0.336               0.033
           -0.946195              -0.946              -0.698              -0.334               0.035
           -0.945995              -0.946              -0.697              -0.332               0.038
           -0.945795              -0.946              -0.696               -0.33                0.04
           -0.945595              -0.946              -0.695              -0.328               0.042
           -0.945395              -0.945              -0.694              -0.326               0.045
           -0.945195              -0.945              -0.693              -0.324               0.047
           -0.944994              -0.945              -0.692              -0.322               0.049
           -0.944794              -0.945              -0.691              -0.321               0.052
           -0.944594              -0.945               -0.69              -0.319               0.054
           -0.944394              -0.944              -0.689              -0.317               0.056
           -0.944194              -0.944              -0.688              -0.315               0.058
           -0.943994              -0.944              -0.687              -0.313               0.061
           -0.943794              -0.944              -0.686              -0.311               0.063
           -0.943594              -0.944              -0.685              -0.309               0.065
           -0.943394              -0.943              -0.684              -0.307               0.067
           -0.943194              -0.943              -0.683              -0.305                0.07
