              x          T3(x)          T5(x)          T7(x)          T9(x)
         -0.618       0.909884       0.188258      -0.998799       0.283479
         -0.616        0.91302       0.175763      -0.997769       0.305337
         -0.614       0.916098       0.163265      -0.996427       0.326993
         -0.612       0.919116       0.150765      -0.994774       0.348436
          -0.61       0.922076       0.138266      -0.992813       0.369657
         -0.608       0.924977       0.125769      -0.990546       0.390646
         -0.606        0.92782       0.113276      -0.987976       0.411395
         -0.604       0.930605       0.100789      -0.985105       0.431893
         -0.602       0.933331      0.0883095      -0.981935       0.452132
           -0.6          0.936        0.07584       -0.97847       0.472103
         -0.598       0.938611      0.0633821      -0.974713       0.491799
         -0.596       0.941165      0.0509374      -0.970665       0.511209
         -0.594       0.943662      0.0385079       -0.96633       0.530328
         -0.592       0.946101      0.0260952       -0.96171       0.549146
          -0.59       0.948484      0.0137011      -0.956809       0.567656
         -0.588        0.95081     0.00132734      -0.951629       0.585851
         -0.586        0.95308     -0.0110244      -0.946174       0.603723
         -0.584       0.955293     -0.0233525      -0.940446       0.621266
         -0.582       0.957451     -0.0356552      -0.934449       0.638472
          -0.58       0.959552     -0.0479308      -0.928186       0.655336
         -0.578       0.961598     -0.0601778       -0.92166        0.67185
         -0.576       0.963588     -0.0723946      -0.914874        0.68801
         -0.574       0.965523     -0.0845794      -0.907832       0.703808
         -0.572       0.967403     -0.0967309      -0.900536       0.719239
          -0.57       0.969228      -0.108847      -0.892991       0.734298
         -0.568       0.970998      -0.120927        -0.8852        0.74898
         -0.566       0.972714      -0.132969      -0.877166       0.763279
         -0.564       0.974375      -0.144971      -0.868892       0.777191
         -0.562       0.975983      -0.156932      -0.860383       0.790711
          -0.56       0.977536      -0.168851      -0.851641       0.803834
         -0.558       0.979036      -0.180725       -0.84267       0.816557
         -0.556       0.980482      -0.192555      -0.833475       0.828876
         -0.554       0.981874      -0.204337      -0.824058       0.840786
         -0.552       0.983214      -0.216071      -0.814423       0.852285
          -0.55         0.9845      -0.227755      -0.804574       0.863368
         -0.548       0.985734      -0.239388      -0.794514       0.874033
         -0.546       0.986915      -0.250969      -0.784248       0.884278
         -0.544       0.988043      -0.262496      -0.773779       0.894098
         -0.542        0.98912      -0.273968      -0.763111       0.903492
          -0.54       0.990144      -0.285384      -0.752248       0.912458
         -0.538       0.991117      -0.296742      -0.741193       0.920993
         -0.536       0.992037      -0.308041      -0.729951       0.929095
         -0.534       0.992907       -0.31928      -0.718525       0.936763
         -0.532       0.993725      -0.330458      -0.706919       0.943996
          -0.53       0.994492      -0.341573      -0.695138       0.950791
         -0.528       0.995208      -0.352624      -0.683184       0.957149
         -0.526       0.995874       -0.36361      -0.671062       0.963067
         -0.524       0.996489       -0.37453      -0.658777       0.968546
         -0.522       0.997053      -0.385382      -0.646331       0.973585
          -0.52       0.997568      -0.396166      -0.633729       0.978183
         -0.518       0.998033      -0.406881      -0.620975        0.98234
         -0.516       0.998448      -0.417525      -0.608072       0.986057
         -0.514       0.998813      -0.428096      -0.595026       0.989334
         -0.512       0.999129      -0.438595      -0.581839       0.992171
          -0.51       0.999396       -0.44902      -0.568516       0.994568
         -0.508       0.999614       -0.45937      -0.555061       0.996527
         -0.506       0.999783      -0.469644      -0.541478       0.998049
         -0.504       0.999904      -0.479841      -0.527771       0.999134
         -0.502       0.999976       -0.48996      -0.513943       0.999784
           -0.5              1           -0.5           -0.5              1
         -0.498       0.999976       -0.50996      -0.485945       0.999784
         -0.496       0.999904      -0.519839      -0.471781       0.999138
         -0.494       0.999785      -0.529636      -0.457514       0.998064
         -0.492       0.999618       -0.53935      -0.443147       0.996564
          -0.49       0.999404       -0.54898      -0.428684        0.99464
         -0.488       0.999143      -0.558526      -0.414129       0.992295
         -0.486       0.998835      -0.567987      -0.399486       0.989531
         -0.484        0.99848      -0.577361       -0.38476       0.986351
         -0.482       0.998079      -0.586648      -0.369953       0.982758
          -0.48       0.997632      -0.595846      -0.355071       0.978755
         -0.478       0.997139      -0.604956      -0.340117       0.974345
         -0.476       0.996599      -0.613977      -0.325095       0.969532
         -0.474       0.996014      -0.622907       -0.31001       0.964319
         -0.472       0.995384      -0.631745      -0.294864        0.95871
          -0.47       0.994708      -0.640492      -0.279663       0.952707
         -0.468       0.993987      -0.649146      -0.264409       0.946317
         -0.466       0.993221      -0.657707      -0.249108       0.939541
         -0.464       0.992411      -0.666173      -0.233762       0.932385
         -0.462       0.991555      -0.674545      -0.218376       0.924853
          -0.46       0.990656      -0.682821      -0.202954       0.916948
         -0.458       0.989712      -0.691001      -0.187499       0.908677
         -0.456       0.988725      -0.699084      -0.172016       0.900042
         -0.454       0.987693      -0.707069      -0.156508        0.89105
         -0.452       0.986618      -0.714956      -0.140979       0.881705
          -0.45         0.9855      -0.722745      -0.125433       0.872011
         -0.448       0.984338      -0.730434      -0.109874       0.861974
         -0.446       0.983134      -0.738023     -0.0943056       0.851599
         -0.444       0.981886      -0.745512     -0.0787312       0.840892
         -0.442       0.980596        -0.7529     -0.0631548       0.829857
          -0.44       0.979264      -0.760186     -0.0475801         0.8185
         -0.438       0.977889       -0.76737     -0.0320108       0.806827
